symbol,entry_date,src,net_pnl_pct,tp,sl,v23_weight_v2,v23_flags_v2
603173.SH,20241021,EVENT,24.1807,21.455,16.022,0.098,s1v2_CHoCH↑;s7v2_up;s9_bsl_tight;s12_in_ote
002993.SZ,20241030,EVENT,0.5854,30.224,23.035,0.0282,s1v2_CHoCH↑;s7v2_up;s18;s16;s9_bsl_tight;s10_in_ob;s6x3
601872.SH,20241021,EVENT,-6.0399,8.254,5.339,0.528,s1v2_CHoCH↓;s17;s6x3
601872.SH,20241022,EVENT,-4.2764,8.254,5.339,0.3696,s1v2_CHoCH↓;s17;s12_in_ote;s6x3
603986.SH,20241022,EVENT,7.9918,101.14,78.645,0.042,s1v2_CHoCH↑;s7v2_up;s18;s16
600750.SH,20241023,EVENT,-3.5941,23.37,15.034,0.0274,s1v2_CHoCH↑;s7v2_up;s19;s9_bsl_tight;s10_in_ob;s6x1
601985.SH,20241023,EVENT,-4.7589,11.82,9.723,0.1176,s15;s10_in_ob;s12_in_ote;s5;s6x1
000703.SZ,20241025,EVENT,1.3455,7.62,5.878,0.14,s1v2_CHoCH↑;s7v2_up;s9_bsl_tight
000683.SZ,20241014,EVENT,7.7509,5.96,4.127,0.0031,s1v2_CHoCH↑;s7v2_up;s18;s16;s23;s9_bsl_tight;s6x1
601872.SH,20241015,EVENT,-9.5685,8.254,5.361,0.049,s1v2_CHoCH↓;s20;s15;s6x1
688443.SH,20241017,EVENT,17.4495,36.4,20.915,0.049,s1v2_CHoCH↑;s7v2_up;s19;s6x1
000157.SZ,20241021,EVENT,7.2997,8.33,5.526,0.14,s1v2_CHoCH↑;s7v2_up;s6x1
002993.SZ,20241031,EVENT,10.68,30.224,24.613,0.0353,s1v2_CHoCH↑;s7v2_up;s18;s16;s9_bsl_tight;s6x3
002302_SZ.SZ,20241011,CONT,3.6571,,,0.12,s1v2_CHoCH↑;s7v2_up;s5
600239_SH.SH,20241011,CONT,-2.3661,,,0.12,s1v2_CHoCH↑;s7v2_up;s5
600322_SH.SH,20241011,CONT,0.8417,,,0.12,s1v2_CHoCH↑;s7v2_up;s5
600397_SH.SH,20241011,CONT,3.6627,,,0.3,s7v2_up;s5
600835_SH.SH,20241011,CONT,21.0604,,,0.0038,s1v2_CHoCH↑;s7v2_up;s18;s16;s23;s5
002058_SZ.SZ,20241014,CONT,52.0751,,,0.3,s7v2_up;s5
301165_SZ.SZ,20241014,CONT,12.8121,,,0.18,s7v2_up;s16;s5
600281_SH.SH,20241014,CONT,12.3683,,,0.045,s7v2_up;s22;s5
002178_SZ.SZ,20241015,CONT,27.9184,,,0.0252,s1v2_CHoCH↑;s7v2_up;s18;s16;s5
002512_SZ.SZ,20241015,CONT,1.2706,,,0.18,s7v2_up;s16;s5
002755_SZ.SZ,20241015,CONT,3.152,,,0.0038,s1v2_CHoCH↑;s7v2_up;s18;s16;s23;s5
300036_SZ.SZ,20241015,CONT,-4.2573,,,0.0038,s1v2_CHoCH↑;s7v2_up;s18;s16;s23;s5
300188_SZ.SZ,20241015,CONT,5.4081,,,0.0252,s1v2_CHoCH↑;s7v2_up;s18;s16;s5
600602_SH.SH,20241015,CONT,-2.5839,,,0.0252,s1v2_CHoCH↑;s7v2_up;s18;s16;s5
600877_SH.SH,20241015,CONT,7.8692,,,0.0038,s1v2_CHoCH↑;s7v2_up;s18;s16;s23;s5
603106_SH.SH,20241015,CONT,48.5342,,,0.18,s7v2_up;s16;s5
688038_SH.SH,20241015,CONT,-1.5015,,,0.0038,s1v2_CHoCH↑;s7v2_up;s18;s16;s23;s5
688049_SH.SH,20241015,CONT,7.8234,,,0.0038,s1v2_CHoCH↑;s7v2_up;s18;s16;s23;s5
688369_SH.SH,20241015,CONT,1.5991,,,0.0038,s1v2_CHoCH↑;s7v2_up;s18;s16;s23;s5
688376_SH.SH,20241015,CONT,-4.9163,,,0.0252,s1v2_CHoCH↑;s7v2_up;s18;s16;s5
600079_SH.SH,20241017,CONT,2.0167,,,0.12,s1v2_CHoCH↑;s7v2_up;s5
600828_SH.SH,20241017,CONT,5.7801,,,0.045,s7v2_up;s22;s5
000510_SZ.SZ,20241021,CONT,2.55,,,0.0252,s1v2_CHoCH↑;s7v2_up;s18;s16;s5
000672_SZ.SZ,20241022,CONT,6.816,,,0.0252,s1v2_CHoCH↑;s7v2_up;s18;s16;s5
301317_SZ.SZ,20241025,CONT,-0.4803,,,0.18,s7v2_up;s16;s5
